"33","ยานนาวา - บางโพงพาง","อนุรักษ์ อินเตอร์ โมบิล","1028/76  ซ.สาธุประดิษฐ์ 58  ถ.สาธุประดิษฐ์ ต.บางโพงพาง เขตยานนาวา กรุงเทพฯ 10120","0-2294-6155, 0-2683-9978-9","0-2294-9629","anurakintermobile@hotmail.com"
"34","จอมทอง - สุขสวัสดิ์ ","ต.ชัยกังวานการาจ ","1/86 ม.5 ถ.สุขสวัสดิ์ ซ.14/17 แขวงจอมทอง เขตจอมทอง กรุงเทพฯ 10150","0-2477-1118,0-2477-1105","0-2476-1586","c_k_w_999@yahoo.co.th"
"35","จอมทอง - วุฒากาศ","ส.คงกิตติ์ (1998)","1/14 ถ.วุฒากาศ แขวงบางค้อ เขตจอมทอง กรุงเทพฯ 10150","0-2875-5176-7","0-2875-5177","sukitt.x@gmail.com"
"36","จรัญสนิทวงศ์ ซอย13 บางพลัด บางขุนนนท์","ท.การช่าง","99/17 ม.8 ซ.จรัญสนิทวงศ์ 13 แขวงบางไผ่ เขตบางแค กรุงเทพฯ 10160","0-2410-3337,0-2410-3182","0-2410-3196","t.karnchang_auto_center@hotmail.com"
"38","จรัญสนิทวงศ์ ซอย13 บางแวก ภาษีเจริญ","ชอเส็งการาจ(1999) ","3/19 ม.11 ซ.จรัญสนิทวงศ์ 13 (พาณิชธนบุรี) แขวงบางแวก เขตภาษีเจริญ กรุงเทพฯ 10160","0-2865-7635-6","0-2865-7637","chorsens1999@yahoo.com"
"39","คลองสาน ถนนอิสรภาพ โรงพยาบาลศิริราช","อุดมมิตรยนต์","1153/1 ถ.อิสรภาพ ซ.12 แขวงสมเด็จเจ้าพระยา เขตคลองสาน กรุงเทพฯ 10600","0-2438-6312,0-2437-5208","0-2437-9263","udom_mityont@hotmail.com"
"40","บางยี่ขัน จรัญสนิทวงศ์ 42 บางพลัด","ศรีประชายนต์","224 ซ.จรัญสนิทวงศ์ 42 แขวงบางยี่ขัน เขตบางพลัด กรุงเทพฯ 10700","0-2424-5034, 0-2883-3154","0-2423-0753","spc1yont@truemail.co.th"
"41","บางพลัด จรัญสนิทวงศ์ ซอย 95/1","เอส. ซี. คาร์-แคร์","64 ซ. 95/1 (มิตรพัฒนา) ถ.จรัญสนิทวงศ์ แขวงบางอ้อ เขตบางพลัด กรุงเทพฯ 10700","0-2435-5637,0-2885-5636","0-2435-5638","sc_carcare@hotmail.com"
"42","บางบอน ถนนกาญจนาภิเษก","เฮงบอดี้คาร์ เซอร์วิส","12/147 ม.10 ซ.วัดนินสุขาราม ถ.กาญจนาภิเษก แขวงบางบอน เขตบางบอน กรุงเทพฯ 10150","0-2899-6961-7","0-2899-6970","hengbody@hotmail.com"
"43","บางบอน ถนนสุขาภิบาล 1-บางบอน","เจริญยนต์การช่าง","14/19  ซ.บางบอน 15  ถ.สุขาภิบาล 1  แขวงบางบอน เขตบางบอน กรุงเทพฯ 10150","0-2415-4572, 0-2415-5028","0-2416-6864","p_jry14@hotmail.com"
"44","บางหว้า เพชรเกษม 37-39 ภาษีเจริญ","เอกกิจออโต้ การาจ","86 ม.15 ซ.เพชรเกษม 37-39 ถ.เพชรเกษม แขวงบางหว้า เขตภาษีเจริญ กรุงเทพฯ 10160","0-2804-7273-4, 0-2454-5059","0-2804-7275","akekitauto@yahoo.com"
"45","บางหว้า ถนนกำนันแม้น ภาษีเจริญ","ไรส์ซิ่งอิมเม็กซ์","14/12 ม.13 ถ.กำนันแม้น แขวงบางหว้า เขตภาษีเจริญ กรุงเทพฯ 10160","0-2455-5497-8, 0-2802-2715","0-2802-2715","k_rieing49@hotmail.com"
"46","พุทธมณฑล สาย 2-บางแค","พิทักษ์ยนต์ แอนด์ พิทักษ์การาจ","27/25 ซ.7/1 ม.5 ซ.7/1 ถ.พุทธมณฑลสาย 2 แขวงบางแคเหนือ เขตบางแค กรุงเทพฯ 10160","0-2803-1828-9","0-2803-1830","pimpa_goong@hotmail.com"
"47","ราษฎร์บูรณะ-ซ.สุขสวัสดิ์ 35 (ซอยวัดสน) ","เฮงรุ่งเรือง","263 ซ.สุขสวัสดิ์ 35 ถ.สุขสวัสดิ์ แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพฯ 10140","0-2463-4694, 0-2463-4755 ","0-2463-8133","hengrungrueng_suree@hotmail.com"
"48","ราษฎร์บูรณะ-ซอยสุขสวัสด์ 52/1","ศ.วิวรรธน์การาจ","173/1 ม.6 ซ.สุขสวัสดิ์ 52/1 แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพฯ 10140","0-2463-8476, 0-2818-1389,0-2818-2804","0-2818-1389","swiwatgarage@hotmail.com"
"49","ราษฎร์บูรณะ","เอ็ม พี การาจ","349/5 ซ.ประชาอุทิศ 21 ถ.ประะชาอุทิศ แขวงบางมด เขตราษฎร์บูรณะ กรุงเทพ 10140","0-2870-8770-3","0-2870-8775","mpgarage50@hotmail.com"
"50","บางแค-ถ.เพชรเกษม","ปอนด์คาร์เซ็นเตอร์","53/92  ซ.เพชรเกษม 88 ถ.เพชรเกษม แขวงบางแคเหนือ เขตบางแค กรุงเทพ 10160  ","0-2454-6627","0-2454-6626","montree_2007@yahoo.co.th"
"51","สายไหม-ดอนเมือง-หลักสี่  ","วี.ไอ.พี. ยูโร คาร์สเซ็นเตอร์ (รับเฉพาะรถเก๋ง)","60/1-4 ม.7 ถ.สุขาภิบาล 5 ซ.จตุโชติ แขวงออเงิน เขตสายไหม กรุงเทพฯ 10220","0-2998-2291-5","0-2992-4407","vipeurocars@hotmail.com"
"52","หลักสี่-แจ้งวัฒนะ-ดอนเมือง","สหชัย ออโต้เซอร์วิส","8/10 ม.1 ซ.แจ้งวัฒนะ 14 ถ.แจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพฯ 10210","0-2990-7788,0-2990-7887","0-2990-7878","sahachaiauto@hotmail.com"
"53","ติวานนท์-อำเภอเมือง-นนทบุรี","เทพพนม ออโต้ เซอร์วิส ","120/7ม.9 ถ.ติวานนท์ ซ.24 ต.บางกะสอ อ.เมือง จ.นนทบุรี 11000","0-2968-6506, 0-2950-7915","0-2950-6956","theppanomauto@hotmail.com"
"54","รัตนาธิเบศร์-บางกระสอ-อ.เมืองนนทบุรี","นำชัย รัตนาธิเบศร์","95/20 ซ.ประชาอุทิศ ถ.รัตนาธิเบศร์ ต.บางกระสอ อ.เมือง จ.นนทบุรี 11000","0-2965-5510-5","0-2965-5519","newnumchai49@hotmail.com"
"55","ถนนงามวงศ์วาน-อำเภอเมือง-นนทบุรี","ณัฐกิจบวร ","55 ม.2 ถ.งามวงศ์วาน ซ.4 ต.บางเขน อ.เมือง จ.นนทบุรี 11000","0-2591-3854,0-2965-9416","0-2965-9416","ma_mis111@hotmail.com"
"56","รัตนาธิเบศร์-ปากเกร็ด-นนทบุรี","นาริน บอดี้คาร์","66 ม.5 ซ.ท่าอิฐ ถ.รัตนาธิเบศร์ ต.ท่าอิฐ อ.ปากเกร็ด จ.นนทบุรี 11120","0-2924-5400-3","0-2924-5404","narin_bodycar@hotmail.com"
"57","บางกรวย-ไทรน้อย-บางกรวย-.นนทบุรี","บัญชากลการแอนด์เซอร์วิส","45/21 ถ.บางกรวย-ไทรน้อย ต.บางกรวย อ.บางกรวย จ.นนทบุรี 11130","0-2446-0619, 0-2446-0612","0-2446-0556","bancha2002@hotmail.com"
"58","บางกรวย-นนทบุรี","เอนก ยูโร คาร์เซ็นเตอร์","67/27 ม.3 ต.บางขนุน อ.บางกรวย จ.นนทบุรี 11130","0-2447-6101,0-2447-6142","0-2447-2796","anekcar2005@hotmail.com"
"59","บางสีทอง บางกรวย นนทบุรี","พระราม 5 บอดี้ เซอร์วิส","37/1 ม.3 ต.บางสีทอง อ.บางกรวย จ.นนทบุรี 11130","02-447-6209 ","02-496-1091","pharam5body@hotmail.co.th"
"61","ไทรน้อย-บางบัวทอง-นนทบุรี","พี.ซี.ซี","88 ม.3 ตรงข้ามบัวทองเคหะ ถ.บางกราย-ไทรน้อย ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11100","0-2571-2118-9,0-2571-4241","0-2571-2123 ต่อ 18","pcc_2000@hotmail.com"
"62","บางใหญ่-ถนนตลิ่งชัน-สุพรรณ-นนทบุรี","วี เอส คาร์ บอดี้ เซ็นเตอร์","11/11ม.14 ถ.ตลิ่งชัน-สุพรรณ ต.บางม่วง อ.บางใหญ่ จ.นนทบุรี 11140","0-2924-8888","0-2924-8875","cawaii-alice@hotmail.com"
"63","บางพูน-ถนนรังสิต-ปทุมธานี-ปทุมธานี","พี.รุ่งเรืองบริการ","95/10 ม.3 ซ.22(วัดดาวเรือง) ถ.รังสิต-ปทุมธานี ต.บางพูน อ.เมือง จ.ปทุมธานี 12000","0-2959-5600-3","0-2567-2593","p_prr@hotmail.com"
"64","บางพูน-ถนนรังสิต-ปทุมธานี-ปทุมธานี","ฟอร์จูนมอเตอร์","95/7 ม.3 ซ.22(วัดดาวเรือง) ถ.รังสิต-ปทุมธานี ต.บางพูน อ.เมือง จ.ปทุมธานี 12000","0-2567-5877-9, 0-2567-5885-7","0-2567-5880","forjune_123@hotmail.com"
"65","บางเดื่อ-ถนนกรุงเทพ-ปทุมธานี ","ซี อาร์ ออโต้ (2004)","40/2 ม.5 ถ.กรุงเทพ-ปทุมธานี ต.บางเดื่อ อ.เมือง จ.ปทุมธานี 12000","0-2978-2919,0-2978-2961-3","0-2978-2792","crauto@asianet.co.th"
"66","วิภาวดีรังสิต-รังสิต-ธัญบุรี-ปทุมธานี","เจ.วี.บอดี้คาร์เซอร์วิส","336/1 ม.1 ซ.พหลโยธิน 117 ถ.วิภาวดี-รังสิต ต.ประชาธิปัตย์ อ.ธัญบุรี  จ.ปทุมธานี 12130","0-2992-3101-2, 0-2992-0723","0-2992-3003","jvbodycar111@hotmail.com"
"67","บางพูน-ถนนรังสิต-ปทุมธานี-ปทุมธานี","อนุรักษ์ ออโต้ รีแพร์ เซ็นเตอร์","84 รังสิต - นครนายก 55  (คลอง 2 ธัญบุรี) ต.ประชาธิปัตย์  อ.ธัญบุรี  จ.ปทุมธานี  12130","0-2549-7216-20","0-2996-5077","anurak_ar@hotmail.com"
"1","บางบอน กาญจนาภิเษก","วี.แม็ก","114/185 ม.4 ถ.กาญจนาภิเษก แขวงบางบอน เขตบางบอน กรุงเทพฯ 10150","02-899-7203, 081-8089831","02-899-7203","wong.visit@hotmail.com"
"2","บางนา","แม็กโอเค","1 ซ.บางนา-ตราด 24 แขวงบางนา เขตบางนา กรุงเทพฯ 10260","02-746-7225","02-746-7229",""
"1","งามวงศ์วาน อ.เมือง นนทบุรี","แสงชัย มอเตอร์ไบค์","78/3 ม.2 ถ.งามวงศ์วาน ต.บางเขน อ.เมือง จ.นนทบุรี 11000","02-951-0966","02-965-9980","asianbestparts@hotmail.com"
"3","สุขสวัสดิ์ ราษฎร์บูรณะ","เจ พี มอเตอร์","377/93 ซ.สุขสวัสดิ์ 1 ถ.สุขสวัสดิ์ แขวงบางปะกอก เขตราษฎร์บูรณะ กรุงเทพฯ 10140","02-4681895, 02-4681869, 086-5186873","02-4681895","JP_MOTOR@HOTMAIL.COM"
"4","จรัญสนิทวงศ์ ซอย13 บางแวก ภาษีเจริญ","พี แอนด์ บี มอเตอร์ไซค์ เซอร์วิส ","9/2 ม.4 ซ.จรัญสนิทวงศ์ 13 ถ.บางแวก แขวงคลองขวาง เขตภาษีเจริญ กรุงเทพฯ 10160","02-4102412, 087-4943969, 083-1333243","02-4102412","p_b_motorcycle_service@hotmail.com"
"5","สมุทรปราการ","ทีพี มอเตอร์ ","18/10 ม.2 ซ.หลังวัดหนามแดง ถ.ศรีนครินทร์ ต.บางแก้ว อ.บางพลี จ.สมุทรปราการ 10540","02-7102007, 083-8448725, 087-8162624","02-7102007","tpmotor@hotmail.com"
"1","ถ.สาธุประดิษฐ์ ยานนาวา","ทองดี การาจ","264/1-3 ซ.ปริยานนท์ ถ.สาธุประดิษฐ์ แขวงบางโพงพาง เขตยานนาวา กรุงเทพฯ 10120","02-683-0414-5, 081-8095742","02-683-0414",""
